"","V1","V2","V3"
".id","SC","TM","Shared genes"
"1","Tek","Myoc","Tmco1"
"2","Kdr","Tgfb2","Fmnl2"
"3","Tgfbr3","Fbn1","Abca1"
"4","Flt1","Svep1","Atxn2"
"5","Cav2","Bicc1","Cav1"
"6","Cttnbp2","Col6a2","Fermt2"
"7","Bmp4","Dcn","Ets1"
"8","Flt4","Vegfc","Arhgef12"
"9","Gas7","Cdh11","Stag1"
"10",NA,"Loxl2","Foxc1"
"11",NA,"Loxl1","Vegfa"
"12",NA,"Col12a1","Cyp1b1"
"13",NA,"Efemp1",NA
"14",NA,"Adamts2",NA
"15",NA,"Gmds",NA
"16",NA,"Angpt1",NA
"17",NA,"Thbs2",NA
"18",NA,"Ltbp1",NA
