"","cluster","gene","avg_log2FC_vs_full_dataset","p_val","p_val_corrected","pct_of_cells_in_cluster_expressing_gene","pct_of_cells_in_dataset_expressing_gene"
"1","SC","Timp2",1.77855720319805,4.31294401676979e-87,9.23358184550243e-83,0.89,0.152
"2","SC","Fxyd6",2.38015108054168,4.00278792073644e-85,8.56956865950463e-81,0.862,0.043
"3","SC","Cd63",1.71592957426556,2.31757128225431e-70,4.96168835817825e-66,0.954,0.431
"4","SC","Fbln5",1.58256146667338,8.01146159784095e-66,1.71517381348177e-61,0.817,0.058
"5","SC","Pgf",2.54889138361539,3.83248960900649e-63,8.20497700392198e-59,0.752,0.049
"6","SC","Nupr1",2.04986541892991,4.29671127872615e-63,9.19882917662482e-59,0.982,0.474
"7","SC","Aebp1",1.14738287990579,1.6400218525642e-58,3.5111227841547e-54,0.771,0.06
"8","SC","Ttc9",1.40495528383601,6.42907836102765e-57,1.37640138631241e-52,0.817,0.298
"9","SC","Npnt",1.71334176664078,7.94485234105759e-54,1.70091343769702e-49,0.615,0.021
"10","SC","Gng11",1.42157529777961,2.01407671995174e-53,4.31193684974469e-49,0.982,0.832
"11","SC","Cp",1.23639216228496,3.98207489671286e-53,8.52522414637257e-49,0.734,0.072
"12","SC","Postn",1.16935220793302,9.56145561993525e-51,2.04701203367194e-46,0.596,0.012
"13","SC","Hif1a",1.14266552638251,1.05303423276215e-50,2.25444098892048e-46,0.936,0.608
"14","SC","Sema3a",0.933263576298862,9.78686010594985e-50,2.0952688800828e-45,0.541,0.004
"15","SC","Galnt1",1.1256873511342,5.02794106119089e-49,1.07643190179036e-44,0.789,0.425
"16","SC","Selp",2.36058888514896,1.18713098034111e-47,2.54152871581227e-43,0.789,0.105
"17","SC","Casp4",1.14965741339584,4.95312470526235e-47,1.06041446814962e-42,0.844,0.201
"18","SC","Vim",1.31468379113537,5.68808393683976e-47,1.21776189003802e-42,0.972,0.809
"19","SC","Cd9",1.09321299403306,1.43008188173811e-46,3.06166230061312e-42,0.954,0.733
"20","SC","Arl4a",1.43341360962175,1.7580293392827e-46,3.76376501247033e-42,0.899,0.55
"21","SC","Ccl21a",2.5759291680141,6.49881584789174e-44,1.39133148487514e-39,0.505,0.008
"22","SC","Rgs16",1.65174761734948,3.06394457300082e-42,6.55959893633746e-38,0.798,0.195
"23","SC","S100a6",1.26811062378632,3.07278891554768e-41,6.57853378929603e-37,0.899,0.421
"24","SC","Tfpi2",1.79821417927459,6.30056007574729e-40,1.34888690661674e-35,0.798,0.343
"25","SC","Adamtsl1",0.861486487497999,5.20553803276222e-39,1.11445363743406e-34,0.587,0.051
"26","SC","S100a10",1.07274518850223,3.56968914115641e-38,7.64234748230175e-34,0.954,0.797
"27","SC","Dab2",0.98427871973136,4.98770543984806e-38,1.06781785761707e-33,0.899,0.661
"28","SC","Serpine1",1.46292338642514,1.65226239560431e-37,3.53732856274927e-33,0.881,0.497
"29","SC","Selenop",0.943339086734481,2.18748884013208e-36,4.68319485783876e-32,0.899,0.704
"30","SC","Rcan1",1.28817112358724,2.60859697119029e-36,5.58474525562129e-32,0.752,0.3
"31","SC","Lbp",1.15956113930876,3.33102244242233e-35,7.13138594698197e-31,0.817,0.288
"32","SC","Mxra8",0.946282926152992,5.38977507749518e-34,1.15389694634094e-29,0.743,0.234
"33","SC","Mras",0.846731958573729,5.53014328586427e-34,1.18394837607068e-29,0.532,0.043
"34","SC","Pdlim4",0.846384947893675,6.53341330778541e-34,1.39873845506378e-29,0.569,0.051
"35","SC","AA467197",1.1641657030638,1.06028941303768e-32,2.26997360437238e-28,0.734,0.216
"36","SC","Htr2b",0.589105233520149,1.75204787495665e-32,3.75095929549469e-28,0.385,0.004
"37","SC","Pkig",0.895715674934013,7.64020039552947e-31,1.63569050267891e-26,0.853,0.45
"38","SC","Akap13",0.863512427216514,3.67947723184383e-30,7.87739280565447e-26,0.872,0.536
"39","SC","Klf6",0.944126384051504,9.19403453315584e-30,1.96835085320333e-25,0.917,0.678
"40","SC","Pcp4l1",0.980926307040866,1.09153677330632e-29,2.3368710779715e-25,0.743,0.183
"41","SC","Gpm6a",0.688808459545702,1.09755927035731e-29,2.34976464190795e-25,0.55,0.064
"42","SC","Tgif1",0.821043984070801,1.63841142317992e-28,3.50767501588589e-24,0.862,0.509
"43","SC","Ccl2",2.93445144906281,2.26859503887921e-28,4.85683511873651e-24,0.468,0.105
"44","SC","Nsg1",0.918926510300311,3.25363640559077e-28,6.96571018072927e-24,0.596,0.14
"45","SC","Ltbp4",0.714506351058132,1.81977146007487e-27,3.89594871887428e-23,0.67,0.14
"46","SC","Ntn1",0.597234862107988,1.95665626248217e-27,4.18900539234807e-23,0.486,0.053
"47","SC","Mical3",0.671991296010689,8.5682582849405e-27,1.83437841622291e-22,0.615,0.113
"48","SC","Cgnl1",0.840355337040463,9.7468456678217e-27,2.08670218902395e-22,0.688,0.347
"49","SC","Rnase4",0.670138519393142,6.09289012173982e-26,1.30442684616328e-21,0.596,0.115
"50","SC","Mall",0.73905287924709,2.96427097379828e-25,6.34620772780473e-21,0.67,0.187
"51","SC","S100a11",0.668733695116097,4.33286831134151e-25,9.27623776775103e-21,0.954,0.838
"52","SC","Pard6g",0.637836667552378,1.09048636554619e-24,2.33462225999784e-20,0.422,0.035
"53","SC","Lmna",0.74789621525925,2.51866318497661e-24,5.39220601271643e-20,0.972,0.936
"54","SC","Palmd",0.840401477206002,3.9034338743412e-24,8.35686158157708e-20,0.771,0.337
"55","SC","Anxa1",1.05524513310525,3.96405306916416e-24,8.48664121577355e-20,0.771,0.435
"56","SC","Adamts5",0.579266788162707,3.97712058323207e-24,8.51461745664153e-20,0.431,0.039
"57","SC","F8",0.562189778677039,4.29860136272978e-24,9.20287565746819e-20,0.495,0.066
"58","SC","Prox1",0.590090490926263,9.04691133634933e-24,1.93685324799903e-19,0.44,0.047
"59","SC","Ifi27l2a",1.03817785177134,6.19980989458931e-23,1.32731730033262e-18,0.376,0.025
"60","SC","Psmd1",0.849650059229502,6.65724990077119e-23,1.4252506312561e-18,0.807,0.528
"61","SC","Lcn2",0.709099488352113,6.70596060257977e-23,1.4356791054063e-18,0.349,0.018
"62","SC","Pdlim1",0.824441109055435,1.03309745977384e-22,2.2117583516298e-18,0.872,0.444
"63","SC","Tlr2",0.635035998625178,9.20295502274081e-22,1.97026064081858e-17,0.514,0.099
"64","SC","Anxa2",0.776553224234767,1.32103093005409e-21,2.8281951181528e-17,0.945,0.827
"65","SC","Lrg1",0.837609471483291,1.68926804498309e-21,3.6165539575043e-17,0.881,0.429
"66","SC","Igfbp5",1.46800897934494,3.96564943592124e-21,8.49005887736379e-17,0.569,0.172
"67","SC","Cavin3",0.728686884067326,1.71740952677723e-20,3.67680205587738e-16,0.862,0.678
"68","SC","Samsn1",0.695874727143477,1.4676615573536e-19,3.14211662813833e-15,0.569,0.14
"69","SC","Ppp1r14b",0.649985524961406,2.04789738657352e-19,4.38434351491525e-15,0.743,0.361
"70","SC","Tspan18",0.631928855504853,8.21620482434664e-19,1.75900729084437e-14,0.688,0.437
"71","SC","Il17ra",0.627511188777784,1.88217347421021e-18,4.02954519093664e-14,0.55,0.144
"72","SC","Actn1",0.619030998527381,2.81219051681622e-18,6.02061867745184e-14,0.56,0.209
