"","cluster","gene","avg_log2FC_vs_full_dataset","p_val","p_val_corrected","pct_of_cells_in_cluster_expressing_gene","pct_of_cells_in_dataset_expressing_gene"
"1","TM_1","Kera",4.02115612704413,0,0,0.938,0.018
"2","TM_1","Angptl7",3.38445460212993,0,0,0.974,0.066
"3","TM_1","A2m",3.00363482806938,0,0,1,0.432
"4","TM_1","Aldh3a1",2.70582367413366,0,0,0.997,0.244
"5","TM_1","Col1a1",2.5369717574859,0,0,1,0.913
"6","TM_1","Matn4",2.40944367747448,0,0,0.993,0.177
"7","TM_1","Mgarp",2.34043971313543,0,0,1,0.544
"8","TM_1","Col6a1",2.14423815781275,0,0,0.997,0.651
"9","TM_1","Col6a2",2.07543189754641,0,0,1,0.456
"10","TM_1","Col1a2",2.06619132563593,0,0,1,0.929
"11","TM_1","Col6a3",2.01785976525519,0,0,0.98,0.372
"12","TM_1","Nupr1",1.98043881702197,0,0,1,0.721
"13","TM_1","Ntrk2",1.96369003861251,0,0,0.974,0.122
"14","TM_1","Col5a2",1.95894212394112,0,0,0.993,0.536
"15","TM_1","Olfml3",1.72791342692957,0,0,1,0.565
"16","TM_1","Tkt",1.64802198759525,0,0,0.977,0.464
"17","TM_1","Col5a1",1.6422293962793,0,0,0.964,0.345
"18","TM_1","Spon1",1.63465769183499,0,0,0.948,0.048
"19","TM_1","Pantr1",1.59820730203055,0,0,0.941,0.045
"20","TM_1","Sparc",1.75352670585438,5.59282311092291e-321,1.19736749981749e-316,1,0.975
"21","TM_1","Dpep1",1.69810440812409,2.35933390810182e-286,5.05109796385519e-282,0.948,0.163
"22","TM_1","Gpm6b",1.35366087089356,8.14730843179399e-271,1.74425726216278e-266,0.958,0.281
"23","TM_1","Slc25a4",1.05083659925399,2.45232009818733e-267,5.25017209820926e-263,1,0.949
"24","TM_1","Dpt",1.66874782369862,1.00379339533013e-255,2.14902128006227e-251,0.866,0.055
"25","TM_1","Chst5",1.36097156118234,1.32243698949178e-251,2.83120535080296e-247,0.899,0.082
"26","TM_1","Aqp1",1.56730275654421,1.6810904459642e-246,3.59904653576476e-242,0.99,0.399
"27","TM_1","Bmp3",0.884529047854719,2.1325059457929e-245,4.56548197934802e-241,0.805,0.04
"28","TM_1","Smoc2",1.59238196126802,2.39516575433662e-236,5.12781036345927e-232,0.909,0.097
"29","TM_1","Igfbp2",2.23272865497496,5.16712642715411e-233,1.10623009678942e-228,1,0.453
"30","TM_1","Cpne7",0.759434254851507,2.92563900900771e-231,6.26350055438461e-227,0.678,0.016
"31","TM_1","Agtr2",0.980509159105507,9.02482809505115e-231,1.9321254468695e-226,0.684,0.018
"32","TM_1","Sema3c",1.24071177494312,4.44589494075139e-219,9.51821647865465e-215,0.909,0.128
"33","TM_1","Cyp2f2",1.67036992593341,2.0954219794954e-216,4.4860889159017e-212,0.798,0.064
"34","TM_1","Col12a1",1.42200853847812,6.75956031183135e-212,1.44715426715997e-207,0.987,0.617
"35","TM_1","Mfap4",1.35969090114633,1.77624101203712e-211,3.80275438267026e-207,0.997,0.85
"36","TM_1","Plod1",1.08299801848019,1.21483377290003e-202,2.60083762440168e-198,0.811,0.111
"37","TM_1","Thbs4",1.29100655771347,1.21390921446639e-200,2.5988582372511e-196,0.941,0.159
"38","TM_1","Ass1",1.15252171476256,4.88254551813365e-200,1.04530416997723e-195,0.818,0.104
"39","TM_1","Apod",1.45321417202468,5.22151683131859e-195,1.117874538417e-190,1,0.645
"40","TM_1","Gsta3",1.37290522195454,1.44106640958379e-181,3.08517907627793e-177,0.577,0.022
"41","TM_1","Cpxm2",1.20598994878161,1.31230117340272e-177,2.80950558213788e-173,0.977,0.311
"42","TM_1","Gm266",0.637446975638584,2.47379325175995e-173,5.29614397269287e-169,0.59,0.023
"43","TM_1","Atg10",0.954478498997549,1.04790693214415e-170,2.24346395102741e-166,0.756,0.091
"44","TM_1","Serpinh1",0.925495754139467,1.15081597789622e-167,2.46378192707802e-163,0.993,0.842
"45","TM_1","Ppdpf",0.966757524896975,5.49577649917253e-166,1.17659079070785e-161,0.866,0.21
"46","TM_1","Fgf21",1.67703890197763,5.58285720259778e-165,1.19523389850416e-160,0.55,0.021
"47","TM_1","Angptl1",1.06303625165715,1.27296665852861e-164,2.72529431924389e-160,0.919,0.186
"48","TM_1","Tmem132c",0.710186407142852,9.21945987055443e-163,1.973794163687e-158,0.583,0.027
"49","TM_1","Steap4",1.12657313048193,1.22252076606506e-161,2.61729470806868e-157,0.837,0.145
"50","TM_1","Fam174b",0.634467563771319,5.13923462144355e-161,1.10025874010485e-156,0.648,0.045
"51","TM_1","Crabp1",0.776660555731097,9.279358587413e-159,1.98661787997925e-154,0.463,0.007
"52","TM_1","Srpx",0.954898195293344,9.63480458563155e-159,2.06271531373786e-154,0.86,0.17
"53","TM_1","Dcn",1.27654191038351,4.81369153851217e-158,1.03056322148007e-153,1,0.987
"54","TM_1","Fibin",1.06252608996957,1.35968746564203e-148,2.91095489519301e-144,0.827,0.156
"55","TM_1","Alcam",0.865527781743474,1.42544818380597e-147,3.05174201671019e-143,0.824,0.147
"56","TM_1","Ppic",0.907955963646646,7.59451667344796e-147,1.62591007461847e-142,0.977,0.506
"57","TM_1","Cda",1.57767734231957,4.84162469677742e-146,1.03654343133308e-141,0.912,0.233
"58","TM_1","Mme",0.693814305545461,8.01133964035199e-146,1.71514770360296e-141,0.723,0.087
"59","TM_1","Htra1",1.08528679453414,1.38087267810517e-144,2.95631031655536e-140,0.997,0.487
"60","TM_1","Ltbp1",0.823730477744078,4.33302698013228e-141,9.2765774617652e-137,0.87,0.182
"61","TM_1","Reep5",0.791374962253726,6.07599235785388e-140,1.30080920389294e-135,0.987,0.681
"62","TM_1","C1qtnf2",0.943148520850636,4.60272001766812e-136,9.85396328582567e-132,0.902,0.242
"63","TM_1","Dkk2",0.910514197860043,7.46392476351256e-135,1.5979516526204e-130,0.883,0.256
"64","TM_1","Col16a1",0.915001439238479,8.19087543443111e-135,1.75358452175736e-130,0.961,0.425
"65","TM_1","Kcnk1",0.661587048298192,1.02857607517973e-131,2.20207851935228e-127,0.502,0.027
