"","cluster","gene","avg_log2FC_vs_full_dataset","p_val","p_val_corrected","pct_of_cells_in_cluster_expressing_gene","pct_of_cells_in_dataset_expressing_gene"
"1","SC","Gng11",2.57730977973651,1.13230327669934e-263,2.42414808508561e-259,0.982,0.362
"2","SC","Ttc9",1.7530772064593,8.29398467413435e-166,1.77565917888542e-161,0.817,0.063
"3","SC","Lrg1",2.03560612210723,4.23897460700273e-159,9.07522073613214e-155,0.881,0.014
"4","SC","Galnt1",1.41226042079963,6.5662623342493e-153,1.40577110313943e-148,0.789,0.23
"5","SC","Cdh5",2.20866305875166,5.38818223981204e-151,1.15355593572136e-146,0.982,0.034
"6","SC","Ecscr",1.97248938659427,1.7738754342818e-149,3.79768991725391e-145,0.963,0.053
"7","SC","Pecam1",1.92615035253977,1.54951521562846e-138,3.31735712513898e-134,0.945,0.037
"8","SC","Nupr1",2.41121792735863,5.31237139434874e-137,1.13732559181612e-132,0.982,0.477
"9","SC","Plvap",1.72636076544867,1.28421787905606e-126,2.74938205727111e-122,0.982,0.059
"10","SC","Selp",2.87781202732748,2.07663500346462e-126,4.44586787891741e-122,0.789,0.025
"11","SC","Cldn5",2.67855039052588,3.67075695956263e-126,7.85872357472764e-122,0.899,0.04
"12","SC","Npnt",1.6017242735655,7.82686440796023e-125,1.67565340110021e-120,0.615,0.084
"13","SC","Rasip1",1.37412334345609,2.93634036594064e-121,6.28641108944231e-117,0.844,0.028
"14","SC","AA467197",1.59354115723938,3.1306588284053e-121,6.70242748573291e-117,0.734,0.018
"15","SC","Ctla2a",2.18064501656761,6.8654989048576e-118,1.46983466054096e-113,0.917,0.048
"16","SC","Ccl21a",3.92422746065193,7.33787337681365e-116,1.57096531124203e-111,0.505,0.002
"17","SC","Trp53i11",1.51432910811182,1.57372365379266e-114,3.36918497040471e-110,0.761,0.088
"18","SC","Gimap6",1.41156858014693,1.13072672592877e-112,2.42077284754091e-108,0.817,0.031
"19","SC","Adgrl4",1.08107593888865,2.46482306157955e-111,5.27693969253565e-107,0.734,0.026
"20","SC","Ptprb",1.23332515834266,5.39219376320791e-107,1.15441476276518e-102,0.798,0.031
"21","SC","Fkbp1a",1.2679815694569,1.75725227337146e-103,3.76210139206096e-99,0.963,0.674
"22","SC","Egfl7",1.68384730821183,2.5500337837937e-99,5.45936732772393e-95,0.872,0.059
"23","SC","Kdr",1.14396185324384,2.652961315336e-99,5.67972488000285e-95,0.771,0.034
"24","SC","Pgf",2.25744701004296,9.91651291955567e-99,2.12302625094767e-94,0.752,0.126
"25","SC","Palmd",1.28587556447679,6.10960953629548e-98,1.3080063056255e-93,0.771,0.079
"26","SC","Gbp4",1.68496232863173,1.09060877170543e-97,2.33488431934416e-93,0.761,0.048
"27","SC","Ackr2",1.13494610481078,1.20098716424203e-92,2.57119341992576e-88,0.587,0.013
"28","SC","Bcl6b",0.963600524064312,1.01913872399078e-91,2.18187409419186e-87,0.615,0.014
"29","SC","S1pr1",1.51524205720107,4.53166995478897e-91,9.7018522062077e-87,0.872,0.093
"30","SC","Sox18",1.3004256516988,1.27459270072201e-89,2.72877551297574e-85,0.642,0.018
"31","SC","Pdgfa",1.71060089208155,4.18975464843499e-89,8.96984572683447e-85,0.917,0.386
"32","SC","Clec2d",1.5065867386488,1.86916414764616e-88,4.00169352369567e-84,0.963,0.446
"33","SC","Adgrg1",1.19026077220838,2.33106889023216e-87,4.99058538709803e-83,0.752,0.049
"34","SC","Adgrf5",1.17726997068308,3.25303111576004e-86,6.96441431573067e-82,0.725,0.036
"35","SC","Mmrn2",0.958606419849143,6.50118807570855e-86,1.39183935512844e-81,0.642,0.023
"36","SC","Serpine1",1.91339821287197,6.91559241967564e-84,1.48055918112836e-79,0.881,0.246
"37","SC","Grrp1",1.21896218746582,1.19642970931277e-83,2.56143636466771e-79,0.624,0.021
"38","SC","Eif4ebp1",1.26393766267529,2.44448292534012e-82,5.23339349486065e-78,0.936,0.517
"39","SC","Emcn",1.56056503356649,3.07093660039425e-82,6.57456816778405e-78,0.972,0.195
"40","SC","N4bp3",1.08058633659961,2.50296767932143e-80,5.35860350465925e-76,0.761,0.115
"41","SC","Samd9l",1.25752151935805,1.63380027527379e-78,3.49780300933365e-74,0.853,0.264
"42","SC","Cgnl1",1.13843686315757,8.18094032793373e-78,1.75145751480733e-73,0.688,0.11
"43","SC","Map4k4",1.13337884306101,5.09663697395539e-77,1.09113900975411e-72,0.899,0.436
"44","SC","Slco2a1",1.19908839086699,1.65631683672245e-76,3.5460087157391e-72,0.642,0.047
"45","SC","Gbp9",0.998412145816399,1.30026498399517e-73,2.78373730423525e-69,0.651,0.036
"46","SC","Rgs16",1.74688133024656,1.01651657837292e-72,2.17626034263858e-68,0.798,0.106
"47","SC","Gngt2",1.02260046808716,1.0916489342796e-71,2.33711120339919e-67,0.752,0.065
"48","SC","Ppfibp1",1.08454485321036,1.69505702897453e-71,3.62894759333158e-67,0.862,0.414
"49","SC","Sash1",1.21498963297646,2.33826062091038e-71,5.00598216330704e-67,0.817,0.296
"50","SC","Rab11a",1.0281530593816,2.81909754492095e-69,6.03540593392126e-65,0.881,0.412
"51","SC","Nrp2",1.13276286726288,1.5708240561217e-68,3.36297722175094e-64,0.927,0.48
"52","SC","Nfat5",1.01431476987801,1.91269293946786e-66,4.09488431410674e-62,0.927,0.501
"53","SC","Ralb",1.10662587278947,2.08945744649181e-65,4.47331944719431e-61,0.807,0.253
"54","SC","Cd93",1.14515723522581,3.3868951095492e-64,7.25100374003388e-60,0.651,0.047
"55","SC","Abcg2",1.01997856433242,7.41081495202332e-64,1.58658137307867e-59,0.771,0.123
"56","SC","Slfn5",1.35698298599387,2.31913357899371e-63,4.96503307926762e-59,0.817,0.161
"57","SC","Psmd1",1.03722179627931,3.7773918230391e-63,8.08701815394441e-59,0.807,0.415
"58","SC","Dab2",1.29772396375409,5.21987589080201e-63,1.1175232294618e-58,0.899,0.343
"59","SC","Calcrl",1.04917500094276,6.57896042739468e-62,1.40848963790093e-57,0.771,0.11
"60","SC","Tfpi2",1.70521129851152,7.45349371226213e-62,1.5957184688582e-57,0.798,0.118
"61","SC","Flt1",1.11476443435543,1.52461398419798e-61,3.26404607876945e-57,0.771,0.095
